Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Los Angeles Dodgers,8,1982,Los Angeles Dodgers,,,1,NL,West,88,74,0.543209877,none,2,,n,,Dodger Stadium,3608881,44554,1st of 12,$,97,98,
Minnesota Twins,14,1982,Minnesota Twins,,,1,AL,West,60,102,0.37037037,none,7,,n,,Hubert H. Humphrey Metrodome,921186,11373,14th of 14,$,104,103,
New York Mets,20,1982,New York Mets,,,1,NL,East,65,97,0.401234568,none,6,,n,,Shea Stadium,1323036,16334,9th of 12,$,101,99,
New York Yankees,15,1982,New York Yankees,,,1,AL,East,79,83,0.487654321,none,5,,n ,,Yankee Stadium II,2041219,25200,3rd of 14,$,97,98,
Oakland Athletics,16,1982,Oakland Athletics,,,1,AL,West,68,94,0.419753086,none,5,,n ,,Oakland-Alameda County Coliseum,1735489,21426,6th of 14,$,95,94,
Philadelphia Phillies,6,1982,Philadelphia Phillies,,,1,NL,East,89,73,0.549382716,none,2,,n ,,Veterans Stadium,2376394,29338,2nd of 12,$,102,103,
Pittsburgh Pirates,4,1982,Pittsburgh Pirates,,,1,NL,East,84,78,0.518518519,none,4,,n ,,Three Rivers Stadium,1024106,12643,12th of 12,$,104,104,
San Diego Padres,23,1982,San Diego Padres,,,1,NL,West,81,81,0.5,none,4,,n,,Jack Murphy Stadium,1607516,19846,6th of 12,$,96,96,
San Francisco Giants,7,1982,San Francisco Giants,,,1,NL,West,87,75,0.537037037,none,3,,n,,Candlestick Park,1200948,14827,11th of 12,$,99,99,
Seattle Mariners,25,1982,Seattle Mariners,,,1,AL,West,76,86,0.469135802,none,4,,n,,Kingdome,1070404,13215,12th of 14,$,105,103,
Texas Rangers,18,1982,Texas Rangers,,,1,AL,West,64,98,0.395061728,none,6,,n,,Arlington Stadium,1154432,14252,11th of 14,$,95,95,
Toronto Blue Jays,26,1982,Toronto Blue Jays,,,1,AL,East,78,84,0.481481481,none,6,,n ,,Exhibition Stadium,1275978,15753,10th of 14,$,110,110,
Washington Nationals,24,1982,Montreal Expos,,,2,NL,East,86,76,0.530864198,none,3,,n ,,Stade Olympique,2318292,28621,3rd of 12,$,101,102,
Chicago White Sox,11,1983,Chicago White Sox,,,1,AL,West,99,63,0.611111111,toppct,1,Lost ALCS ,n,3-1),Comiskey Park I,2132821,26331,4th of 14,$,103,104,
Los Angeles Dodgers,8,1983,Los Angeles Dodgers,,,1,NL,West,91,71,0.561728395,toppct,1,Lost NLCS ,n ,3-1),Dodger Stadium,3510313,43879,1st of 12,$,99,99,
Philadelphia Phillies,6,1983,Philadelphia Phillies,,,1,NL,East,90,72,0.555555556,none,1,Lost_WS ,n ,4-1),Veterans Stadium,2128339,25955,5th of 12,$,99,99,
Baltimore Orioles,9,1983,Baltimore Orioles,,,1,AL,East,98,64,0.604938272,worldseries,1,Won_WS ,y,4-1),Memorial Stadium,2042071,25211,5th of 14,$,98,98,
Atlanta Braves,1,1983,Atlanta Braves,,,1,NL,West,88,74,0.543209877,none,2,,n ,,Atlanta-Fulton County Stadium,2119935,26499,4th of 12,$,107,108,
Boston Red Socks,10,1983,Boston Red Sox,,,1,AL,East,78,84,0.481481481,none,6,,n,,Fenway Park,1782285,22004,9th of 14,$,107,107,
Chicago Cubs,2,1983,Chicago Cubs,,,1,NL,East,71,91,0.438271605,none,5,,n,,Wrigley Field,1479717,18268,7th of 12,$,104,104,
Cincinnati Reds,3,1983,Cincinnati Reds,,,1,NL,West,74,88,0.456790123,none,6,,n,,Riverfront Stadium,1190419,14697,11th of 12,$,104,103,
Cleveland Indians,12,1983,Cleveland Indians,,,1,AL,East,70,92,0.432098765,none,7,,n,,Cleveland Stadium,768941,9493,14th of 14,$,105,104,
Detroit Tigers,13,1983,Detroit Tigers,,,1,AL,East,92,70,0.567901235,none,2,,n,,Tiger Stadium,1829636,22588,8th of 14,$,96,97,
Houston Astros,19,1983,Houston Astros,,,1,NL,West,85,77,0.524691358,none,3,,n,,Astrodome,1351962,16487,8th of 12,$,93,93,
Kansas City Royals,21,1983,Kansas City Royals,,,1,AL,West,79,83,0.487654321,none,2,,n,,Royals Stadium,1963875,23950,6th of 14,$,100,100,
Los Angeles Angels of Anaheim,17,1983,California Angels,,,3,AL,West,70,92,0.432098765,none,5,,n ,,Anaheim Stadium,2555016,31543,1st of 14,$,99,99,
Milwaukee Brewers,22,1983,Milwaukee Brewers,,,1,AL,East,87,75,0.537037037,none,5,,n ,,County Stadium,2397131,29594,2nd of 14,$,92,93,
Minnesota Twins,14,1983,Minnesota Twins,,,1,AL,West,70,92,0.432098765,none,5,,n,,Hubert H. Humphrey Metrodome,858939,10604,12th of 14,$,105,104,
New York Mets,20,1983,New York Mets,,,1,NL,East,68,94,0.419753086,none,6,,n,,Shea Stadium,1112774,13570,12th of 12,$,100,99,
New York Yankees,15,1983,New York Yankees,,,1,AL,East,91,71,0.561728395,none,3,,n ,,Yankee Stadium II,2257976,27876,3rd of 14,$,95,96,
Oakland Athletics,16,1983,Oakland Athletics,,,1,AL,West,74,88,0.456790123,none,4,,n ,,Oakland-Alameda County Coliseum,1294941,15987,11th of 14,$,94,93,
Pittsburgh Pirates,4,1983,Pittsburgh Pirates,,,1,NL,East,84,78,0.518518519,none,2,,n ,,Three Rivers Stadium,1225916,15135,10th of 12,$,102,103,
San Diego Padres,23,1983,San Diego Padres,,,1,NL,West,81,81,0.5,none,4,,n,,Jack Murphy Stadium,1539815,18778,6th of 12,$,97,97,
San Francisco Giants,7,1983,San Francisco Giants,,,1,NL,West,79,83,0.487654321,none,5,,n,,Candlestick Park,1251530,15451,9th of 12,$,98,97,
Seattle Mariners,25,1983,Seattle Mariners,,,1,AL,West,60,102,0.37037037,none,7,,n,,Kingdome,813537,10044,13th of 14,$,105,104,
St. Louis Cardinals,5,1983,St. Louis Cardinals,,,1,NL,East,79,83,0.487654321,none,4,,n ,,Busch Stadium II,2317914,28616,3rd of 12,$,100,101,
Texas Rangers,18,1983,Texas Rangers,,,1,AL,West,77,85,0.475308642,none,3,,n,,Arlington Stadium,1363469,16833,10th of 14,$,98,97,
Toronto Blue Jays,26,1983,Toronto Blue Jays,,,1,AL,East,89,73,0.549382716,none,4,,n ,,Exhibition Stadium,1930415,23832,7th of 14,$,106,106,
Washington Nationals,24,1983,Montreal Expos,,,2,NL,East,82,80,0.50617284,none,3,,n ,,Stade Olympique,2320651,28650,2nd of 12,$,99,99,
Kansas City Royals,21,1984,Kansas City Royals,,,1,AL,West,84,78,0.518518519,none,1,Lost ALCS ,n ,3-0),Royals Stadium,1810018,22346,7th of 14,$,101,100,
Chicago Cubs,2,1984,Chicago Cubs,,,1,NL,East,96,65,0.596273292,toppct,1,Lost NLCS ,n,3-2),Wrigley Field,2107655,26346,2nd of 12,$,108,108,
San Diego Padres,23,1984,San Diego Padres,,,1,NL,West,92,70,0.567901235,none,1,Lost_WS ,n,4-1),Jack Murphy Stadium,1983904,24493,5th of 12,$,100,100,
Detroit Tigers,13,1984,Detroit Tigers,,,1,AL,East,104,58,0.641975309,both,1,Won_WS ,y,4-1),Tiger Stadium,2704794,32985,1st of 14,$,98,100,
Atlanta Braves,1,1984,Atlanta Braves,,,1,NL,West,80,82,0.49382716,none,2,,n ,,Atlanta-Fulton County Stadium,1724892,21295,7th of 12,$,107,107,
Baltimore Orioles,9,1984,Baltimore Orioles,,,1,AL,East,85,77,0.524691358,none,5,,n ,,Memorial Stadium,2045784,25257,5th of 14,$,97,98,
Boston Red Socks,10,1984,Boston Red Sox,,,1,AL,East,86,76,0.530864198,none,4,,n,,Fenway Park,1661618,20514,8th of 14,$,105,105,
Chicago White Sox,11,1984,Chicago White Sox,,,1,AL,West,74,88,0.456790123,none,5,,n,,Comiskey Park I,2136988,26383,3rd of 14,$,104,105,
Cincinnati Reds,3,1984,Cincinnati Reds,,,1,NL,West,70,92,0.432098765,none,5,,n,,Riverfront Stadium,1275887,15752,9th of 12,$,105,104,
Cleveland Indians,12,1984,Cleveland Indians,,,1,AL,East,75,87,0.462962963,none,6,,n,,Cleveland Stadium,734079,9063,14th of 14,$,103,102,
Houston Astros,19,1984,Houston Astros,,,1,NL,West,80,82,0.49382716,none,2,,n,,Astrodome,1229862,15183,10th of 12,$,92,92,
Los Angeles Angels of Anaheim,17,1984,California Angels,,,3,AL,West,81,81,0.5,none,2,,n ,,Anaheim Stadium,2402997,29667,2nd of 14,$,100,100,
Los Angeles Dodgers,8,1984,Los Angeles Dodgers,,,1,NL,West,79,83,0.487654321,none,4,,n,,Dodger Stadium,3134824,38702,1st of 12,$,98,98,
Milwaukee Brewers,22,1984,Milwaukee Brewers,,,1,AL,East,67,94,0.416149068,none,7,,n ,,County Stadium,1608509,19858,9th of 14,$,97,96,
Minnesota Twins,14,1984,Minnesota Twins,,,1,AL,West,81,81,0.5,none,2,,n,,Hubert H. Humphrey Metrodome,1598692,19737,10th of 14,$,105,104,
New York Mets,20,1984,New York Mets,,,1,NL,East,90,72,0.555555556,none,2,,n,,Shea Stadium,1842695,22749,6th of 12,$,99,99,
New York Yankees,15,1984,New York Yankees,,,1,AL,East,87,75,0.537037037,none,3,,n ,,Yankee Stadium II,1821815,22492,6th of 14,$,95,96,
Oakland Athletics,16,1984,Oakland Athletics,,,1,AL,West,77,85,0.475308642,none,4,,n ,,Oakland-Alameda County Coliseum,1353281,16707,11th of 14,$,93,93,
Philadelphia Phillies,6,1984,Philadelphia Phillies,,,1,NL,East,81,81,0.5,none,4,,n ,,Veterans Stadium,2062693,25465,3rd of 12,$,101,102,
Pittsburgh Pirates,4,1984,Pittsburgh Pirates,,,1,NL,East,75,87,0.462962963,none,6,,n ,,Three Rivers Stadium,773500,9549,12th of 12,$,101,101,
San Francisco Giants,7,1984,San Francisco Giants,,,1,NL,West,66,96,0.407407407,none,6,,n,,Candlestick Park,1001545,12365,11th of 12,$,98,97,
Seattle Mariners,25,1984,Seattle Mariners,,,1,AL,West,74,88,0.456790123,none,5,,n,,Kingdome,870372,10745,13th of 14,$,100,98,
St. Louis Cardinals,5,1984,St. Louis Cardinals,,,1,NL,East,84,78,0.518518519,none,3,,n ,,Busch Stadium II,2037448,25154,4th of 12,$,98,98,
Texas Rangers,18,1984,Texas Rangers,,,1,AL,West,69,92,0.428571429,none,7,,n,,Arlington Stadium,1102471,13781,12th of 14,$,104,103,
Toronto Blue Jays,26,1984,Toronto Blue Jays,,,1,AL,East,89,73,0.549382716,none,2,,n ,,Exhibition Stadium,2110009,26049,4th of 14,$,103,104,
Washington Nationals,24,1984,Montreal Expos,,,2,NL,East,78,83,0.48447205,none,5,,n ,,Stade Olympique,1606531,19834,8th of 12,$,96,96,
Toronto Blue Jays,26,1985,Toronto Blue Jays,,,1,AL,East,99,62,0.614906832,toppct,1,Lost ALCS ,n ,4-3),Exhibition Stadium,2468925,30862,2nd of 14,"$9,329,217 ",103,104,
Los Angeles Dodgers,8,1985,Los Angeles Dodgers,,,1,NL,West,95,67,0.586419753,none,1,Lost NLCS ,n ,4-2),Dodger Stadium,3264593,40304,1st of 12,"$10,967,917 ",96,97,
St. Louis Cardinals,5,1985,St. Louis Cardinals,,,1,NL,East,101,61,0.62345679,toppct,1,Lost_WS ,n ,4-3),Busch Stadium II,2637563,32563,3rd of 12,"$11,817,083 ",99,100,
Kansas City Royals,21,1985,Kansas City Royals,,,1,AL,West,91,71,0.561728395,worldseries,1,Won_WS ,y,4-3),Royals Stadium,2162717,26375,5th of 14,"$10,565,346 ",100,100,
Atlanta Braves,1,1985,Atlanta Braves,,,1,NL,West,66,96,0.407407407,none,5,,n ,,Atlanta-Fulton County Stadium,1350137,16668,9th of 12,"$14,807,000 ",106,105,
Baltimore Orioles,9,1985,Baltimore Orioles,,,1,AL,East,83,78,0.51552795,none,4,,n ,,Memorial Stadium,2132387,26326,6th of 14,"$12,085,712 ",97,97,
Boston Red Socks,10,1985,Boston Red Sox,,,1,AL,East,81,81,0.5,none,5,,n,,Fenway Park,1786633,22057,7th of 14,"$10,897,560 ",104,104,
Chicago Cubs,2,1985,Chicago Cubs,,,1,NL,East,77,84,0.47826087,none,4,,n,,Wrigley Field,2161534,26686,5th of 12,"$12,702,917 ",110,110,
Chicago White Sox,11,1985,Chicago White Sox,,,1,AL,West,85,77,0.524691358,none,3,,n,,Comiskey Park I,1669888,20616,8th of 14,"$9,846,178 ",104,104,
Cincinnati Reds,3,1985,Cincinnati Reds,,,1,NL,West,89,72,0.552795031,none,2,,n,,Riverfront Stadium,1834619,22650,6th of 12,"$8,359,917 ",105,104,
Cleveland Indians,12,1985,Cleveland Indians,,,1,AL,East,60,102,0.37037037,none,7,,n,,Cleveland Stadium,655181,8089,14th of 14,"$6,551,666 ",100,99,
Detroit Tigers,13,1985,Detroit Tigers,,,1,AL,East,84,77,0.52173913,none,3,,n,,Tiger Stadium,2286609,28230,3rd of 14,"$10,348,143 ",98,100,
Houston Astros,19,1985,Houston Astros,,,1,NL,West,83,79,0.512345679,none,3,,n,,Astrodome,1184314,14621,10th of 12,"$9,993,051 ",96,97,
Los Angeles Angels of Anaheim,17,1985,California Angels,,,3,AL,West,90,72,0.555555556,none,2,,n ,,Anaheim Stadium,2567427,32499,1st of 14,"$14,427,894 ",100,100,
Milwaukee Brewers,22,1985,Milwaukee Brewers,,,1,AL,East,71,90,0.440993789,none,6,,n ,,County Stadium,1360265,17003,10th of 14,"$11,284,107 ",101,100,
Minnesota Twins,14,1985,Minnesota Twins,,,1,AL,West,77,85,0.475308642,none,4,,n,,Hubert H. Humphrey Metrodome,1651814,19664,9th of 14,"$5,764,821 ",105,105,
New York Mets,20,1985,New York Mets,,,1,NL,East,98,64,0.604938272,none,2,,n,,Shea Stadium,2761601,34094,2nd of 12,"$10,834,762 ",97,99,
New York Yankees,15,1985,New York Yankees,,,1,AL,East,97,64,0.602484472,none,2,,n ,,Yankee Stadium II,2214587,27682,4th of 14,"$14,238,204 ",97,98,
Oakland Athletics,16,1985,Oakland Athletics,,,1,AL,West,77,85,0.475308642,none,4,,n ,,Oakland-Alameda County Coliseum,1334599,16894,11th of 14,"$9,058,606 ",92,92,
Philadelphia Phillies,6,1985,Philadelphia Phillies,,,1,NL,East,75,87,0.462962963,none,5,,n ,,Veterans Stadium,1830350,22597,7th of 12,"$10,644,966 ",103,103,
Pittsburgh Pirates,4,1985,Pittsburgh Pirates,,,1,NL,East,57,104,0.354037267,none,6,,n ,,Three Rivers Stadium,735900,9199,12th of 12,"$9,267,500 ",100,99,
San Diego Padres,23,1985,San Diego Padres,,,1,NL,West,83,79,0.512345679,none,3,,n,,Jack Murphy Stadium,2210352,27288,4th of 12,"$11,191,583 ",99,99,
San Francisco Giants,7,1985,San Francisco Giants,,,1,NL,West,62,100,0.382716049,none,6,,n,,Candlestick Park,818697,10107,11th of 12,"$8,221,714 ",96,95,
Seattle Mariners,25,1985,Seattle Mariners,,,1,AL,West,74,88,0.456790123,none,6,,n,,Kingdome,1128696,13599,13th of 14,"$4,613,000 ",101,100,
Texas Rangers,18,1985,Texas Rangers,,,1,AL,West,62,99,0.385093168,none,7,,n,,Arlington Stadium,1112497,13906,12th of 14,"$7,676,500 ",102,101,
Washington Nationals,24,1985,Montreal Expos,,,2,NL,East,84,77,0.52173913,none,3,,n ,,Stade Olympique,1502494,18549,8th of 12,"$9,470,166 ",95,95,
Los Angeles Angels of Anaheim,17,1986,California Angels,,,3,AL,West,92,70,0.567901235,none,1,Lost ALCS ,n ,4-3),Anaheim Stadium,2655872,32389,1st of 14,"$14,427,258 ",99,99,
Houston Astros,19,1986,Houston Astros,,,1,NL,West,96,66,0.592592593,none,1,Lost NLCS ,n ,4-2),Astrodome,1734276,21411,7th of 12,"$9,873,276 ",96,97,
Boston Red Socks,10,1986,Boston Red Sox,,,1,AL,East,95,66,0.590062112,toppct,1,Lost_WS ,n ,4-3),Fenway Park,2147641,26514,5th of 14,"$14,402,239 ",100,101,
New York Mets,20,1986,New York Mets,,,1,NL,East,108,54,0.666666667,both,1,Won_WS ,y,4-3),Shea Stadium,2767601,34168,2nd of 12,"$15,393,714 ",96,98,
Atlanta Braves,1,1986,Atlanta Braves,,,1,NL,West,72,89,0.447204969,none,6,,n ,,Atlanta-Fulton County Stadium,1387181,17126,10th of 12,"$17,102,786 ",106,105,
Baltimore Orioles,9,1986,Baltimore Orioles,,,1,AL,East,73,89,0.450617284,none,7,,n ,,Memorial Stadium,1973176,24977,6th of 14,"$13,001,258 ",99,98,
Chicago Cubs,2,1986,Chicago Cubs,,,1,NL,East,70,90,0.4375,none,5,,n,,Wrigley Field,1859102,23239,5th of 12,"$17,208,165 ",108,107,
Chicago White Sox,11,1986,Chicago White Sox,,,1,AL,West,72,90,0.444444444,none,5,,n,,Comiskey Park I,1424313,17584,10th of 14,"$10,418,819 ",104,104,
Cincinnati Reds,3,1986,Cincinnati Reds,,,1,NL,West,86,76,0.530864198,none,2,,n,,Riverfront Stadium,1692432,20894,8th of 12,"$11,906,388 ",104,104,
Cleveland Indians,12,1986,Cleveland Indians,,,1,AL,East,84,78,0.518518519,none,5,,n,,Cleveland Stadium,1471805,18170,9th of 14,"$7,809,500 ",99,98,
Detroit Tigers,13,1986,Detroit Tigers,,,1,AL,East,87,75,0.537037037,none,3,,n,,Tiger Stadium,1899437,23450,7th of 14,"$12,335,714 ",99,100,
Kansas City Royals,21,1986,Kansas City Royals,,,1,AL,West,76,86,0.469135802,none,3,,n,,Royals Stadium,2320794,28652,3rd of 14,"$13,043,698 ",101,102,
Los Angeles Dodgers,8,1986,Los Angeles Dodgers,,,1,NL,West,73,89,0.450617284,none,5,,n,,Dodger Stadium,3023208,37324,1st of 12,"$15,213,776 ",93,93,
Milwaukee Brewers,22,1986,Milwaukee Brewers,,,1,AL,East,77,84,0.47826087,none,6,,n ,,County Stadium,1265041,15813,12th of 14,"$9,943,642 ",104,103,
Minnesota Twins,14,1986,Minnesota Twins,,,1,AL,West,71,91,0.438271605,none,6,,n,,Hubert H. Humphrey Metrodome,1255453,15499,13th of 14,"$9,498,167 ",102,102,
New York Yankees,15,1986,New York Yankees,,,1,AL,East,90,72,0.555555556,none,2,,n ,,Yankee Stadium II,2268030,28350,4th of 14,"$18,494,253 ",98,99,
Oakland Athletics,16,1986,Oakland Athletics,,,1,AL,West,76,86,0.469135802,none,3,,n ,,Oakland-Alameda County Coliseum,1314646,15839,11th of 14,"$9,779,421 ",92,92,
Philadelphia Phillies,6,1986,Philadelphia Phillies,,,1,NL,East,86,75,0.534161491,none,2,,n ,,Veterans Stadium,1933335,24167,4th of 12,"$11,590,166 ",104,104,
Pittsburgh Pirates,4,1986,Pittsburgh Pirates,,,1,NL,East,64,98,0.395061728,none,6,,n ,,Three Rivers Stadium,1000917,12357,12th of 12,"$10,938,500 ",103,102,
San Diego Padres,23,1986,San Diego Padres,,,1,NL,West,74,88,0.456790123,none,4,,n,,Jack Murphy Stadium,1805716,22293,6th of 12,"$11,380,693 ",98,98,
San Francisco Giants,7,1986,San Francisco Giants,,,1,NL,West,83,79,0.512345679,none,3,,n,,Candlestick Park,1528748,18873,9th of 12,"$8,947,000 ",95,95,
Seattle Mariners,25,1986,Seattle Mariners,,,1,AL,West,67,95,0.413580247,none,7,,n,,Kingdome,1029045,12549,14th of 14,"$5,958,309 ",101,100,
St. Louis Cardinals,5,1986,St. Louis Cardinals,,,1,NL,East,79,82,0.49068323,none,3,,n ,,Busch Stadium II,2471974,30518,3rd of 12,"$9,875,010 ",99,100,
Texas Rangers,18,1986,Texas Rangers,,,1,AL,West,87,75,0.537037037,none,2,,n,,Arlington Stadium,1692002,20889,8th of 14,"$6,743,119 ",103,102,
Toronto Blue Jays,26,1986,Toronto Blue Jays,,,1,AL,East,86,76,0.530864198,none,4,,n,,Exhibition Stadium,2455477,30315,2nd of 14,"$12,801,047 ",102,103,
Washington Nationals,24,1986,Montreal Expos,,,2,NL,East,78,83,0.48447205,none,4,,n ,,Stade Olympique,1128981,14112,11th of 12,"$11,103,600 ",100,100,
Detroit Tigers,13,1987,Detroit Tigers,,,1,AL,East,98,64,0.604938272,toppct,1,Lost ALCS ,n,4-1),Tiger Stadium,2061830,25455,7th of 14,"$12,122,881 ",95,96,
San Francisco Giants,7,1987,San Francisco Giants,,,1,NL,West,90,72,0.555555556,none,1,Lost NLCS ,n,4-3),Candlestick Park,1917168,23669,7th of 12,"$8,532,500 ",95,96,
St. Louis Cardinals,5,1987,St. Louis Cardinals,,,1,NL,East,95,67,0.586419753,toppct,1,Lost_WS ,n ,4-3),Busch Stadium II,3072122,37927,1st of 12,"$11,758,000 ",102,102,
Minnesota Twins,14,1987,Minnesota Twins,,,1,AL,West,85,77,0.524691358,worldseries,1,Won_WS ,y,4-3),Hubert H. Humphrey Metrodome,2081976,25703,6th of 14,"$10,585,000 ",103,103,
Atlanta Braves,1,1987,Atlanta Braves,,,1,NL,West,69,92,0.428571429,none,5,,n ,,Atlanta-Fulton County Stadium,1217402,15030,11th of 12,"$17,444,560 ",106,104,
Baltimore Orioles,9,1987,Baltimore Orioles,,,1,AL,East,67,95,0.413580247,none,6,,n ,,Memorial Stadium,1835692,22386,9th of 14,"$14,250,273 ",98,97,
Boston Red Socks,10,1987,Boston Red Sox,,,1,AL,East,78,84,0.481481481,none,5,,n,,Fenway Park,2231551,27894,5th of 14,"$13,770,171 ",102,103,
Chicago Cubs,2,1987,Chicago Cubs,,,1,NL,East,76,85,0.472049689,none,6,,n,,Wrigley Field,2035130,25439,6th of 12,"$15,473,026 ",104,103,
Chicago White Sox,11,1987,Chicago White Sox,,,1,AL,West,77,85,0.475308642,none,5,,n,,Comiskey Park I,1208060,14914,12th of 14,"$12,135,343 ",103,103,
Cincinnati Reds,3,1987,Cincinnati Reds,,,1,NL,West,84,78,0.518518519,none,2,,n,,Riverfront Stadium,2185205,26978,4th of 12,"$9,281,500 ",103,104,
Cleveland Indians,12,1987,Cleveland Indians,,,1,AL,East,61,101,0.37654321,none,7,,n,,Cleveland Stadium,1077898,13307,14th of 14,"$9,033,750 ",101,100,
Houston Astros,19,1987,Houston Astros,,,1,NL,West,76,86,0.469135802,none,3,,n,,Astrodome,1909902,23579,8th of 12,"$12,758,371 ",96,96,
Kansas City Royals,21,1987,Kansas City Royals,,,1,AL,West,83,79,0.512345679,none,2,,n,,Royals Stadium,2392471,29537,4th of 14,"$12,513,056 ",102,102,
Los Angeles Angels of Anaheim,17,1987,California Angels,,,3,AL,West,75,87,0.462962963,none,6,,n,,Anaheim Stadium,2696299,33288,2nd of 14,"$13,855,999 ",97,97,
Los Angeles Dodgers,8,1987,Los Angeles Dodgers,,,1,NL,West,73,89,0.450617284,none,4,,n,,Dodger Stadium,2797409,34536,3rd of 12,"$14,474,737 ",98,98,
Milwaukee Brewers,22,1987,Milwaukee Brewers,,,1,AL,East,91,71,0.561728395,none,3,,n ,,County Stadium,1909244,23571,8th of 14,"$7,293,224 ",103,103,
New York Mets,20,1987,New York Mets,,,1,NL,East,92,70,0.567901235,none,2,,n,,Shea Stadium,3034129,37458,2nd of 12,"$13,846,714 ",93,95,
New York Yankees,15,1987,New York Yankees,,,1,AL,East,89,73,0.549382716,none,4,,n ,,Yankee Stadium II,2427672,29971,3rd of 14,"$19,457,714 ",99,99,
Oakland Athletics,16,1987,Oakland Athletics,,,1,AL,West,81,81,0.5,none,3,,n ,,Oakland-Alameda County Coliseum,1678921,20727,11th of 14,"$12,730,839 ",93,93,
Philadelphia Phillies,6,1987,Philadelphia Phillies,,,1,NL,East,80,82,0.49382716,none,4,,n ,,Veterans Stadium,2100110,25927,5th of 12,"$12,482,997 ",104,103,
Pittsburgh Pirates,4,1987,Pittsburgh Pirates,,,1,NL,East,80,82,0.49382716,none,4,,n ,,Three Rivers Stadium,1161193,14336,12th of 12,"$8,789,500 ",100,100,
San Diego Padres,23,1987,San Diego Padres,,,1,NL,West,65,97,0.401234568,none,6,,n,,Jack Murphy Stadium,1454061,17951,10th of 12,"$12,065,796 ",97,96,
Seattle Mariners,25,1987,Seattle Mariners,,,1,AL,West,78,84,0.481481481,none,4,,n,,Kingdome,1134255,14003,13th of 14,"$4,623,000 ",106,105,
Texas Rangers,18,1987,Texas Rangers,,,1,AL,West,75,87,0.462962963,none,6,,n,,Arlington Stadium,1763053,21766,10th of 14,"$5,992,718 ",101,100,
Toronto Blue Jays,26,1987,Toronto Blue Jays,,,1,AL,East,96,66,0.592592593,none,2,,n,,Exhibition Stadium,2778429,34302,1st of 14,"$10,765,401 ",101,102,
Washington Nationals,24,1987,Montreal Expos,,,2,NL,East,91,71,0.561728395,none,3,,n ,,Stade Olympique,1850324,22844,9th of 12,"$8,877,052 ",103,103,
Boston Red Socks,10,1988,Boston Red Sox,,,1,AL,East,89,73,0.549382716,none,1,Lost ALCS ,n ,4-0),Fenway Park,2464851,30430,4th of 14,"$14,687,092 ",104,105,
New York Mets,20,1988,New York Mets,,,1,NL,East,100,60,0.625,toppct,1,Lost NLCS ,n,4-3),Shea Stadium,3055445,38193,1st of 12,"$15,401,814 ",94,95,
Oakland Athletics,16,1988,Oakland Athletics,,,1,AL,West,104,58,0.641975309,toppct,1,Lost_WS ,n ,4-1),Oakland-Alameda County Coliseum,2287335,28239,7th of 14,"$10,653,833 ",96,97,
Los Angeles Dodgers,8,1988,Los Angeles Dodgers,,,1,NL,West,94,67,0.583850932,worldseries,1,Won_WS ,y,4-1),Dodger Stadium,2980262,36793,2nd of 12,"$17,141,015 ",97,98,
Atlanta Braves,1,1988,Atlanta Braves,,,1,NL,West,54,106,0.3375,none,6,,n ,,Atlanta-Fulton County Stadium,848089,10735,12th of 12,"$13,065,674 ",106,104,
Baltimore Orioles,9,1988,Baltimore Orioles,,,1,AL,East,54,107,0.335403727,none,7,,n ,,Memorial Stadium,1660738,20759,10th of 14,"$14,389,075 ",98,97,
Chicago Cubs,2,1988,Chicago Cubs,,,1,NL,East,77,85,0.475308642,none,4,,n,,Wrigley Field,2089034,25476,5th of 12,"$13,956,698 ",105,105,
Chicago White Sox,11,1988,Chicago White Sox,,,1,AL,West,71,90,0.440993789,none,5,,n,,Comiskey Park I,1115749,13775,13th of 14,"$8,537,500 ",100,100,
