Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Chicago Cubs,2,1908,Chicago Cubs,,,1,NL,,99,55,0.642857143,both,1,Won_WS ,y,4-1),West Side Grounds,665325,8530,2nd of 8,$,100,104,
Atlanta Braves,1,1908,Boston Doves,,,7,NL,,63,91,0.409090909,none,6,,n,,South End Grounds III,253750,3253,7th of 8,$,102,98,
Baltimore Orioles,9,1908,St. Louis Browns,,,2,AL,,83,69,0.546052632,none,4,,n ,,Sportsman's Park II,618947,7935,2nd of 8,$,100,101,
Boston Red Socks,10,1908,Boston Red Sox,BOS,,1,AL,,75,79,0.487012987,none,5,,n,,Huntington Avenue Baseball Grounds,473048,6143,3rd of 8,$,103,103,
Chicago White Sox,11,1908,Chicago White Sox,,,1,AL,,88,64,0.578947368,none,3,,n,,South Side Park III,636096,8155,1st of 8,$,97,98,
Cincinnati Reds,3,1908,Cincinnati Reds,,,3,NL,,73,81,0.474025974,none,5,,n,,Palace of the Fans,399200,5184,4th of 8,$,98,97,
Cleveland Indians,12,1908,Cleveland Naps,,,2,AL,,90,64,0.584415584,none,2,,n,,League Park I,422262,5414,6th of 8,$,100,101,
Los Angeles Dodgers,8,1908,Brooklyn Superbas,,,6,NL,,53,101,0.344155844,none,7,,n ,,Washington Park III,275600,3579,6th of 8,$,99,96,
Minnesota Twins,14,1908,Washington Senators,,,2,AL,,67,85,0.440789474,none,7,,n,,American League Park II,264252,3388,8th of 8,$,96,92,
New York Yankees,15,1908,New York Highlanders,,,2,AL,,51,103,0.331168831,none,8,,n ,,Hilltop Park,305500,3968,7th of 8,$,103,101,
Oakland Athletics,16,1908,Philadelphia Athletics,,,2,AL,,68,85,0.444444444,none,6,,n,,Columbia Park,455062,5834,4th of 8,$,107,107,
Philadelphia Phillies,6,1908,Philadelphia Phillies,,,1,NL,,83,71,0.538961039,none,4,,n ,,Baker Bowl,420660,5393,3rd of 8,$,102,103,
Pittsburgh Pirates,4,1908,Pittsburgh Pirates,,,1,NL,,98,56,0.636363636,none,2,,n,,Exposition Park III,382444,4967,5th of 8,$,98,100,
